,MDA_rank,MDI_rank,SFI_rank,CFI_rank,mean_rank
AVGO_BBL_40_2.0,1111,1186,752,1410,1114.75
AVGO_UO_7_14_28,1798,50,1199,1414,1115.25
GOOGL_FISHERTs_18_1,1461,751,1217,1035,1116.0
NVDA_SUPERT_14_4.0,929,1827,654,1059,1117.25
BKNG_MOM_50,1670,454,1711,635,1117.5
AVGO_PSARl_0.02_0.2,1668,822,561,1419,1117.5
COST_ISB_52,1197,1745,171,1359,1118.0
BKNG_BBL_40_2.0,856,1154,1835,628,1118.25
QQQ_WILLR_14,1755,32,1471,1217,1118.75
QQQ_DMP_28,1558,536,1191,1192,1119.25
AMGN_PSARr_0.02_0.2,571,1118,1008,1780,1119.25
QQQ_ATRr_14,1591,930,738,1219,1119.5
NVDA_DCL_40_40,1280,1548,614,1037,1119.75
GOOGL_STOCHd_28_6_3,949,1408,1060,1064,1120.25
NVDA_IKS_52,928,1836,669,1049,1120.5
GILD_STOCHk_28_6_3,1810,302,1790,581,1120.75
AVGO_WILLR_14,1521,97,1450,1415,1120.75
AVGO_BBB_40_2.0,330,1181,1565,1407,1120.75
AMZN_MACD_24_52_18,1042,1316,858,1275,1122.75
COST_SMA_100,1188,1677,198,1431,1123.5
GOOG_VTXP_28,1403,616,1545,931,1123.75
BKNG_KCUe_40_3.0,906,1149,1822,620,1124.25
CMCSA_DMN_28,1518,254,1247,1480,1124.75
PEP_VWAP_D,1208,1292,494,1508,1125.5
BKNG_BBP_40_2.0,1575,631,1672,624,1125.5
NVDA_ISA_18,1813,845,814,1033,1126.25
GILD_MACD_24_52_18,1046,1174,1642,644,1126.5
NVDA_KCUe_40_3.0,1225,1577,667,1038,1126.75
AMZN_SMA_100,1037,1835,357,1280,1127.25
GOOG_CG_10,1629,572,1410,901,1128.0
BKNG_VWMA_50,948,1258,1830,477,1128.25
GOOG_SQZ_NO,875,1740,963,935,1128.25
BKNG_IKS_52,868,1255,1833,559,1128.75
GOOGL_MACDs_24_52_18,1371,929,1132,1083,1128.75
AMZN_ROC_30,1556,355,1633,973,1129.25
BKNG_HMA_50,960,1259,1810,489,1129.5
GILD_MACDs_24_52_18,1409,1288,1236,588,1130.25
GOOG_ZS_40,877,1489,1230,929,1131.25
NVDA_ZS_40,289,1140,1468,1630,1131.75
NVDA_ISB_52,927,1795,786,1021,1132.25
QQQ_SUPERTd_14_4.0,578,1694,1079,1180,1132.75
TXN_MFI_28,1665,489,1681,701,1134.0
BKNG_CMF_30,1622,617,1639,658,1134.0
GOOG_MACD_24_52_18,1768,871,915,984,1134.5
AMZN_SQZ_NO,890,1682,965,1002,1134.75
NVDA_SUPERTl_14_4.0,931,1824,730,1057,1135.5
TSLA_EOM_28_100000000,1688,424,733,1699,1136.0
COST_ITS_18,1199,1788,199,1358,1136.0
AAPL_PSARs_0.02_0.2,1453,141,1786,1165,1136.25
META_DCM_40_40,1222,1264,483,1580,1137.25
BKNG_BBU_40_2.0,850,1251,1823,626,1137.5
NVDA_RVI_14,1559,269,1383,1343,1138.5
PEP_ISA_18,1121,1326,597,1515,1139.75
NVDA_KCLe_40_3.0,1284,1618,629,1040,1142.75
GOOGL_AO_5_34,1393,1201,863,1116,1143.25
PEP_PSARl_0.02_0.2,1262,1152,598,1561,1143.25
COST_ROC_30,1155,919,1151,1348,1143.25
SBUX_BBP_40_2.0,1503,1030,1159,881,1143.25
QQQ_STOCHk_28_6_3,1701,346,1350,1176,1143.25
AMZN_ADOSC_5_17,1726,235,1638,977,1144.0
TSLA_MACD_24_52_18,1818,688,464,1606,1144.0
AVGO_SQZ_20_2.0_20_1.5,1376,867,890,1445,1144.5
NVDA_NVI_255,1238,1071,631,1638,1144.5
PEP_low,1321,1221,516,1533,1147.75
BKNG_close,1384,896,1816,495,1147.75
CMCSA_UO_7_14_28,1513,90,1498,1491,1148.0
GILD_KAMA_10_2_30,987,1281,1761,563,1148.0
AMZN_CG_10,1652,284,1689,968,1148.25
AVGO_CG_10,1451,335,1397,1411,1148.5
GOOGL_PSARr_0.02_0.2,437,1389,1019,1751,1149.0
NVDA_BBP_40_2.0,1774,397,1384,1042,1149.25
TSLA_LDECAY_10,1135,851,916,1697,1149.75
NVDA_MOM_50,1744,752,1052,1053,1150.25
GILD_close,1611,619,1724,652,1151.5
COST_AO_5_34,1582,815,864,1345,1151.5
AVGO_CMF_30,1491,124,1540,1451,1151.5
TXN_STOCHd_28_6_3,777,1690,1448,692,1151.75
CMCSA_SUPERTs_14_4.0,673,1776,662,1497,1152.0
AVGO_MACDs_24_52_18,1142,970,779,1720,1152.75
GOOG_MACDh_24_52_18,1739,1011,880,983,1153.25
QQQ_STOCHd_28_6_3,1517,541,1370,1187,1153.75
META_NVI_255,1257,1533,262,1571,1155.75
META_BBB_40_2.0,1218,980,842,1587,1156.75
META_PSARl_0.02_0.2,1324,1023,630,1653,1157.5
NVDA_DCU_40_40,1234,1564,716,1119,1158.25
TXN_SUPERTd_14_4.0,835,1725,1400,673,1158.25
SBUX_ZS_40,616,1837,1381,802,1159.0
BKNG_KCLe_40_3.0,908,1270,1837,622,1159.25
AAPL_VTXP_28,1712,333,1311,1288,1161.0
BKNG_MACDs_24_52_18,910,1467,1783,486,1161.5
AMZN_CMF_30,1319,810,1567,953,1162.25
BKNG_ITS_18,870,1457,1820,504,1162.75
GILD_low,1300,994,1705,653,1163.0
PEP_DCM_40_40,1256,1286,569,1542,1163.25
GOOG_SUPERTd_14_4.0,851,1797,1093,912,1163.25
PEP_SUPERTs_14_4.0,1267,1525,325,1538,1163.75
ISRG_ADX_28,1274,1103,1732,552,1165.25
AAPL_DMN_28,1675,81,1782,1124,1165.5
NVDA_PSARr_0.02_0.2,502,1339,1015,1820,1169.0
TSLA_WILLR_14,1369,99,1478,1732,1169.5
CMCSA_PSARr_0.02_0.2,683,1246,1011,1741,1170.25
CMCSA_close,1704,741,784,1455,1171.0
SBUX_STOCHd_28_6_3,1525,1206,1105,849,1171.25
AVGO_SUPERTs_14_4.0,1103,1696,469,1420,1172.0
GILD_EMA_50,1486,1176,1378,649,1172.25
PEP_BBU_40_2.0,1496,1100,549,1550,1173.75
COST_MACD_24_52_18,1720,838,748,1398,1176.0
MDLZ_ENTP_20,1687,920,1587,510,1176.0
COST_PSARr_0.02_0.2,505,1398,1029,1775,1176.75
META_KCLe_40_3.0,1220,1481,426,1584,1177.75
QQQ_CMF_30,1815,43,1643,1210,1177.75
CMCSA_WILLR_14,1527,243,1453,1492,1178.75
META_RVI_14,1497,111,1534,1577,1179.75
BKNG_EMA_50,961,1434,1832,492,1179.75
GOOGL_SUPERTd_14_4.0,954,1585,1111,1069,1179.75
PEP_IKS_52,1202,1425,581,1512,1180.0
PEP_ITS_18,1145,1501,566,1513,1181.25
GILD_RSI_28,1402,997,1745,582,1181.5
BKNG_ISB_52,872,1458,1842,558,1182.5
AMZN_ENTP_20,895,1150,1692,995,1183.0
TSLA_PSARl_0.02_0.2,1270,44,1709,1714,1184.25
MSFT_RSI_28,1785,247,1373,1335,1185.0
AMZN_VTXM_28,1444,808,1494,997,1185.75
AMZN_BBB_40_2.0,1458,784,1552,952,1186.5
AVGO_VTXM_28,1349,418,1542,1439,1187.0
QCOM_ROC_30,1805,591,1608,746,1187.5
NVDA_DCM_40_40,1233,1530,646,1341,1187.5
AVGO_MFI_28,1654,338,1309,1449,1187.5
NVDA_AO_5_34,1532,633,1538,1048,1187.75
META_ITS_18,1406,1232,453,1660,1187.75
SBUX_MACDh_24_52_18,1590,1138,1169,857,1188.5
COST_MACDh_24_52_18,1313,1110,937,1397,1189.25
META_UO_7_14_28,1802,13,1295,1648,1189.5
BKNG_PSARaf_0.02_0.2,462,1252,1283,1761,1189.5
META_MOM_50,1427,561,1120,1651,1189.75
QQQ_CG_10,1807,117,1612,1225,1190.25
GOOGL_SQZ_NO,916,1801,957,1091,1191.25
PYPL_ZS_40,1589,1418,1597,165,1192.25
QQQ_DMN_28,1740,120,1722,1191,1193.25
COST_MACDs_24_52_18,1422,960,1025,1368,1193.75
QQQ_FISHERT_18_1,1493,682,1456,1147,1194.5
AAPL_SQZ_NO,983,1534,958,1304,1194.75
META_DCU_40_40,1224,1437,540,1579,1195.0
MDLZ_MACDs_24_52_18,1260,1306,1427,788,1195.25
AVGO_DCL_40_40,1117,1344,920,1401,1195.5
QQQ_RSI_28,1808,532,1259,1188,1196.75
BKNG_SUPERTl_14_4.0,861,1452,1839,639,1197.75
CMCSA_HMA_50,1380,1191,759,1462,1198.0
NVDA_BBB_40_2.0,1571,917,1261,1043,1198.0
META_WMA_50,1249,1473,451,1621,1198.5
MDLZ_SUPERTd_14_4.0,1153,1756,1057,830,1199.0
BKNG_SUPERT_14_4.0,867,1454,1838,641,1200.0
BKNG_ZS_40,883,1624,1655,645,1201.75
META_ISB_52,1230,1240,679,1661,1202.5
AAPL_DMP_28,1013,910,1763,1125,1202.75
SBUX_VTXM_28,1426,848,1742,803,1204.75
CMCSA_BBM_40_2.0,656,1821,860,1486,1205.75
AVGO_STOCHk_28_6_3,1585,212,1303,1723,1205.75
GOOGL_VTXM_28,1434,1141,1221,1031,1206.75
TSLA_ISA_18,334,1170,1729,1596,1207.25
AAPL_SUPERTd_14_4.0,1021,1486,1154,1169,1207.5
GOOGL_DMN_28,1716,316,1723,1080,1208.75
GOOGL_ENTP_20,918,1378,1511,1029,1209.0
AVGO_ROC_30,1577,551,1302,1416,1211.5
META_HMA_50,1250,1411,542,1644,1211.75
PEP_SUPERTl_14_4.0,1258,1579,482,1537,1214.0
CSCO_PSARr_0.02_0.2,709,1403,1007,1739,1214.5
TXN_FISHERTs_18_1,1672,1085,1396,706,1214.75
PEP_KAMA_10_2_30,1288,1560,459,1554,1215.25
TSLA_CCI_20_0.015,1261,824,1181,1600,1216.5
GOOG_VTXM_28,1550,922,1466,930,1217.0
PEP_EMA_50,1118,1698,529,1529,1218.5
CMCSA_PSARl_0.02_0.2,674,1781,923,1496,1218.5
CMCSA_volume,1782,68,1561,1466,1219.25
MSFT_STOCHk_28_6_3,1748,245,1554,1334,1220.25
GILD_BBL_40_2.0,1623,999,1675,586,1220.75
BKNG_OBV,1753,704,1784,643,1221.0
AMZN_STOCHd_28_6_3,1524,839,1256,1266,1221.25
ADBE_ADX_28,1639,1193,1730,328,1222.5
PYPL_PSARaf_0.02_0.2,516,1422,1168,1786,1223.0
AMZN_SUPERTd_14_4.0,1053,1645,1077,1118,1223.25
QQQ_ZS_40,1689,672,1399,1141,1225.25
QCOM_SUPERTd_14_4.0,1194,1426,1529,752,1225.25
AVGO_ISB_52,1096,1726,517,1564,1225.75
GOOGL_ZS_40,917,1658,1298,1030,1225.75
BKNG_BBM_40_2.0,854,1599,1829,627,1227.25
CMCSA_ISA_18,533,1332,1541,1505,1227.75
META_DCL_40_40,1221,1511,602,1581,1228.75
PEP_SUPERT_14_4.0,1275,1462,643,1535,1228.75
AVGO_VWMA_50,1140,1662,396,1725,1230.75
PEP_DCL_40_40,1255,1527,603,1543,1232.0
TXN_ZS_40,1488,1245,1496,702,1232.75
META_WILLR_14,1702,115,1470,1649,1234.0
GILD_MFI_28,1673,936,1739,589,1234.25
NVDA_VWAP_D,1237,1495,567,1640,1234.75
NVDA_LDECAY_10,1243,1488,578,1633,1235.5
GILD_DCM_40_40,1030,1573,1736,607,1236.5
BKNG_DCM_40_40,904,1590,1834,618,1236.5
GILD_HMA_50,1055,1615,1630,647,1236.75
BKNG_DCL_40_40,905,1591,1836,619,1237.75
BKNG_KCBe_40_3.0,907,1593,1831,621,1238.0
COST_CCI_20_0.015,1487,821,1281,1364,1238.25
NFLX_PSARaf_0.02_0.2,1537,497,1123,1796,1238.25
AAPL_VTXM_28,1769,382,1507,1299,1239.25
TSLA_CMF_30,1542,213,1495,1709,1239.75
BKNG_DCU_40_40,903,1589,1828,642,1240.5
TSLA_ADOSC_5_17,1821,130,1307,1708,1241.5
TSLA_WMA_50,442,1183,1734,1609,1242.0
NVDA_ENTP_20,497,1384,1460,1629,1242.5
CSCO_PSARaf_0.02_0.2,1398,890,948,1736,1243.0
META_BBP_40_2.0,1735,464,1194,1586,1244.75
TSLA_RVI_14,1635,311,1343,1693,1245.5
AAPL_FISHERTs_18_1,1535,780,1365,1302,1245.5
GILD_DCL_40_40,975,1574,1825,608,1245.5
NVDA_SUPERTd_14_4.0,930,1826,1171,1058,1246.25
GILD_SUPERTs_14_4.0,1072,1542,1801,571,1246.5
BKNG_LDECAY_10,884,1627,1815,660,1246.5
MSFT_FISHERTs_18_1,1479,684,1591,1235,1247.25
PEP_BBM_40_2.0,1294,1568,577,1551,1247.5
COST_ADX_28,1305,585,1735,1367,1248.0
GILD_IKS_52,1080,1547,1789,576,1248.0
META_volume,1628,100,1640,1624,1248.0
AVGO_MACDh_24_52_18,1682,364,1228,1721,1248.75
META_STOCHd_28_6_3,1404,571,1364,1663,1250.5
TSLA_ENTP_20,1757,708,835,1703,1250.75
META_ENTP_20,1614,506,1299,1593,1253.0
MSFT_BBP_40_2.0,1804,689,1270,1254,1254.25
NVDA_STOCHd_28_6_3,1484,1057,1469,1009,1254.75
CSCO_SQZ_OFF,760,1532,993,1737,1255.5
CSCO_SQZ_ON,758,1529,1003,1738,1257.0
CSCO_PSARs_0.02_0.2,1541,1404,1679,412,1259.0
META_MACD_24_52_18,1252,1351,793,1645,1260.25
COST_FISHERTs_18_1,1428,1065,1173,1375,1260.25
META_IKS_52,1228,1691,465,1659,1260.75
QQQ_PSARr_0.02_0.2,1620,678,996,1750,1261.0
AAPL_STOCHd_28_6_3,1637,1044,1218,1145,1261.0
QQQ_VTXP_28,1330,1244,1329,1143,1261.5
META_SUPERTs_14_4.0,1207,1656,530,1654,1261.75
MSFT_SQZ_NO,1092,1746,974,1237,1262.25
PEP_BBB_40_2.0,1353,1279,877,1549,1264.5
AMGN_SQZ_ON,545,1641,1083,1791,1265.0
BKNG_PSARs_0.02_0.2,1617,989,1821,636,1265.75
AMGN_SQZ_OFF,548,1642,1080,1793,1265.75
TSLA_UO_7_14_28,1697,57,1583,1727,1266.0
TSLA_SMA_100,369,1282,1809,1611,1267.75
TSLA_KAMA_10_2_30,1417,984,941,1729,1267.75
NVDA_MACDs_24_52_18,1312,1054,1690,1016,1268.0
AAPL_ZS_40,1734,906,1137,1298,1268.75
CMCSA_SQZ_ON,559,1669,1070,1778,1269.0
GOOGL_VTXP_28,1309,1113,1622,1032,1269.0
MSFT_SUPERTd_14_4.0,1035,1424,1293,1326,1269.5
META_KCBe_40_3.0,1773,1329,395,1583,1270.0
PEP_FISHERTs_18_1,1357,700,1556,1476,1272.25
TSLA_STOCHk_28_6_3,1633,231,1632,1598,1273.5
META_ISA_18,1231,1602,600,1662,1273.75
META_CMF_30,1626,219,1676,1576,1274.25
TSLA_DCU_40_40,378,1341,1688,1691,1274.5
AVGO_HMA_50,1139,1736,518,1713,1276.5
QCOM_SQZ_ON,561,1727,1051,1770,1277.25
AMZN_CCI_20_0.015,1560,759,1524,1269,1278.0
NFLX_PSARr_0.02_0.2,816,1484,1017,1797,1278.5
META_VWMA_50,1251,1816,429,1620,1279.0
AAPL_PSARaf_0.02_0.2,1653,719,992,1752,1279.0
INTC_ADX_28,1663,1392,1702,361,1279.5
PEP_STOCHd_28_6_3,1431,1051,1121,1516,1279.75
META_SUPERT_14_4.0,1204,1729,531,1657,1280.25
PYPL_SQZ_ON,615,1592,1102,1813,1280.5
MSFT_ZS_40,1545,1002,1330,1245,1280.5
META_OBV,1572,701,1285,1565,1280.75
ADBE_PSARaf_0.02_0.2,1516,711,1071,1826,1281.0
INTC_PSARr_0.02_0.2,759,1596,1000,1772,1281.75
CMCSA_BBL_40_2.0,654,1820,1170,1487,1282.75
CMCSA_SQZ_OFF,560,1673,1119,1779,1282.75
PEP_MOM_50,1318,813,1442,1559,1283.0
COST_ZS_40,1198,1376,1106,1453,1283.25
QCOM_SQZ_OFF,564,1728,1074,1769,1283.75
PYPL_PSARr_0.02_0.2,681,1647,1024,1789,1285.25
PYPL_SQZ_OFF,614,1621,1103,1815,1288.25
GOOGL_MFI_28,940,1483,1635,1097,1288.75
NVDA_VTXP_28,1407,453,1667,1632,1289.75
PEP_MACD_24_52_18,1700,289,1649,1525,1290.75
MSFT_DMN_28,1797,451,1578,1337,1290.75
QCOM_PSARaf_0.02_0.2,1504,806,1086,1768,1291.0
META_ROC_30,1816,244,1457,1650,1291.75
TXN_SQZ_OFF,744,1649,947,1829,1292.25
META_AO_5_34,1570,1133,822,1646,1292.75
GOOG_PSARaf_0.02_0.2,1401,1006,934,1831,1293.0
INTC_SQZ_ON,702,1435,1200,1839,1294.0
NVDA_SQZ_20_2.0_20_1.5,1454,1111,978,1637,1295.0
COST_VTXM_28,1824,651,1262,1452,1297.25
COST_BBB_40_2.0,1161,914,1720,1395,1297.5
AAPL_ADOSC_5_17,1779,393,1717,1310,1299.75
AMZN_DMN_28,1809,343,1780,1270,1300.5
SBUX_SQZ_OFF,549,1817,1034,1803,1300.75
COST_SUPERTd_14_4.0,1175,1767,912,1354,1302.0
PEP_VTXP_28,1424,905,1406,1474,1302.25
META_close,1737,1386,463,1625,1302.75
CMCSA_AO_5_34,650,1739,1344,1490,1305.75
ISRG_SQZ_ON,972,1440,998,1814,1306.0
PEP_SQZ_NO,1232,1581,956,1478,1311.75
AAPL_SQZ_OFF,982,1531,980,1755,1312.0
AVGO_ADOSC_5_17,1803,337,1666,1450,1314.0
TSLA_FISHERTs_18_1,1721,229,1618,1696,1316.0
ISRG_SQZ_OFF,937,1439,1072,1818,1316.5
TXN_SQZ_ON,739,1650,1035,1842,1316.5
META_SUPERTl_14_4.0,1206,1720,686,1655,1316.75
TSLA_MFI_28,1829,578,1157,1705,1317.25
GILD_OBV,1781,1098,1787,604,1317.5
MSFT_STOCHd_28_6_3,1658,640,1646,1333,1319.25
BKNG_KAMA_10_2_30,1674,1156,1818,629,1319.25
META_VTXP_28,1615,630,1447,1590,1320.5
MSFT_PSARaf_0.02_0.2,1070,1269,1160,1787,1321.5
TXN_PSARr_0.02_0.2,817,1730,1004,1740,1322.75
AVGO_SQZ_NO,1183,1706,959,1444,1323.0
GILD_SQZ_ON,1020,1563,928,1782,1323.25
NVDA_SQZ_OFF,1240,1242,1006,1808,1324.0
BKNG_SQZ_ON,892,1605,1038,1762,1324.25
CMCSA_SUPERTd_14_4.0,671,1771,1363,1499,1326.0
GILD_SQZ_OFF,1019,1562,938,1785,1326.0
PEP_CMF_30,1443,460,1603,1801,1326.75
NVDA_SQZ_NO,1242,1461,969,1636,1327.0
BKNG_SQZ_OFF,891,1606,1061,1759,1329.25
INTC_SQZ_OFF,701,1441,1335,1840,1329.25
BKNG_PSARr_0.02_0.2,1386,1159,1014,1760,1329.75
GILD_PSARr_0.02_0.2,997,1538,1001,1783,1329.75
TSLA_NVI_255,1129,1842,658,1698,1331.75
COST_SQZ_NO,1163,1815,975,1377,1332.5
AMZN_ZS_40,894,1784,1664,996,1334.5
ADBE_SQZ_ON,786,1674,1053,1830,1335.75
TSLA_PSARr_0.02_0.2,1273,1262,1021,1792,1337.0
AAPL_SQZ_ON,981,1551,1062,1754,1337.0
ADBE_SQZ_OFF,789,1661,1078,1821,1337.25
NFLX_BBB_40_2.0,844,1497,1213,1800,1338.5
GOOG_PSARr_0.02_0.2,857,1721,1031,1749,1339.5
QQQ_PSARaf_0.02_0.2,577,1769,1178,1841,1341.25
TSLA_HMA_50,1281,820,1660,1608,1342.25
QQQ_ADX_28,1534,990,1656,1193,1343.25
AVGO_ENTP_20,1185,1369,1386,1437,1344.25
QCOM_PSARr_0.02_0.2,1373,1214,1030,1767,1346.0
PEP_MACDh_24_52_18,1343,1062,1458,1524,1346.75
META_MACDh_24_52_18,1253,1639,852,1647,1347.75
TSLA_RSI_28,1378,911,1509,1599,1349.25
MSFT_FISHERT_18_1,1602,974,1585,1236,1349.25
TSLA_ZS_40,1310,1129,1258,1702,1349.75
MSFT_PSARr_0.02_0.2,1071,1515,1026,1788,1350.0
AMZN_SQZ_ON,888,1635,1073,1812,1352.0
PEP_SUPERTd_14_4.0,1272,1460,1141,1536,1352.25
PEP_ROC_30,1396,804,1653,1558,1352.75
GOOGL_SQZ_ON,914,1631,1046,1825,1354.0
NFLX_SQZ_ON,829,1747,1043,1798,1354.25
AMZN_ADX_28,1044,1319,1795,1260,1354.5
TSLA_VWAP_D,1095,1765,866,1704,1357.5
INTC_PSARaf_0.02_0.2,1413,953,1294,1771,1357.75
PEP_ENTP_20,1468,902,1590,1471,1357.75
GOOG_ADX_28,1528,1414,1516,981,1359.75
NFLX_SQZ_OFF,807,1749,1084,1799,1359.75
TXN_PSARaf_0.02_0.2,1301,1104,1198,1838,1360.25
TSLA_SUPERTs_14_4.0,1268,1459,985,1734,1361.5
TSLA_BBP_40_2.0,1506,943,1323,1687,1364.75
GOOG_SQZ_OFF,874,1753,1018,1817,1365.5
NVDA_FISHERTs_18_1,1693,816,1333,1634,1369.0
AMZN_SQZ_OFF,889,1657,1136,1811,1373.25
GOOG_SQZ_ON,873,1754,1050,1816,1373.25
AAPL_ADX_28,1835,827,1706,1126,1373.5
QQQ_SQZ_OFF,986,1752,935,1827,1375.0
ADBE_PSARr_0.02_0.2,1322,1423,1022,1746,1378.25
SBUX_SQZ_ON,1346,1312,1059,1802,1379.75
META_FISHERTs_18_1,1788,552,1615,1567,1380.5
MSFT_ADX_28,996,1455,1733,1339,1380.75
TSLA_STOCHd_28_6_3,1304,1187,1436,1597,1381.0
ISRG_PSARr_0.02_0.2,1226,1521,1032,1747,1381.5
META_SUPERTd_14_4.0,1205,1724,942,1656,1381.75
TSLA_SQZ_NO,1132,1762,961,1674,1382.25
QQQ_SQZ_ON,1086,1638,981,1828,1383.25
GOOGL_SQZ_OFF,915,1780,1016,1824,1383.75
NVDA_VTXM_28,1659,580,1668,1631,1384.5
PEP_SQZ_ON,1247,1628,919,1745,1384.75
AAPL_PSARr_0.02_0.2,1448,1309,1033,1753,1385.75
AMZN_PSARr_0.02_0.2,1057,1719,1028,1748,1388.0
GOOGL_PSARaf_0.02_0.2,959,1617,1142,1835,1388.25
TSLA_FISHERT_18_1,1133,1108,1602,1711,1388.5
AVGO_PSARr_0.02_0.2,1106,1705,1005,1756,1393.0
TSLA_KCUe_40_3.0,1350,819,1744,1680,1398.25
NVDA_PSARaf_0.02_0.2,935,1741,1088,1832,1399.0
TSLA_ITS_18,1519,1249,1237,1594,1399.75
COST_PSARs_0.02_0.2,1341,1091,1824,1350,1401.5
ISRG_PSARaf_0.02_0.2,1368,1325,1107,1807,1401.75
MSFT_SQZ_OFF,1091,1744,943,1833,1402.75
META_SQZ_NO,1290,1789,972,1569,1405.0
META_MFI_28,1227,1291,1535,1574,1406.75
PEP_ADX_28,1766,586,1772,1510,1408.5
AVGO_SUPERTd_14_4.0,1101,1689,1433,1422,1411.25
MDLZ_PSARaf_0.02_0.2,1366,1302,1219,1763,1412.5
PEP_ZS_40,1323,1161,1695,1472,1412.75
PEP_SQZ_OFF,1241,1629,1040,1742,1413.0
TSLA_SQZ_OFF,1131,1758,990,1790,1417.25
PEP_PSARaf_0.02_0.2,1269,1528,1134,1743,1418.5
CMCSA_MACD_24_52_18,1397,1199,1620,1460,1419.0
MDLZ_SQZ_OFF,1143,1774,997,1765,1419.75
MDLZ_PSARr_0.02_0.2,1156,1751,1012,1764,1420.75
TSLA_BBU_40_2.0,1564,693,1738,1689,1421.0
TSLA_SUPERT_14_4.0,1265,991,1701,1735,1423.0
META_SQZ_OFF,1291,1558,1010,1837,1424.0
AVGO_ZS_40,1184,1654,1420,1438,1424.0
META_SQZ_ON,1292,1552,1020,1836,1425.0
TSLA_SQZ_ON,1130,1757,1045,1794,1431.5
MSFT_SQZ_ON,1090,1763,1041,1834,1432.0
MDLZ_SQZ_ON,1144,1775,1058,1766,1435.75
COST_SQZ_ON,1165,1783,1027,1773,1437.0
TSLA_KCLe_40_3.0,1340,940,1796,1682,1439.5
NVDA_SQZ_ON,1239,1672,1044,1809,1441.0
COST_PSARaf_0.02_0.2,1410,1380,1203,1776,1442.25
CMCSA_ADX_28,1465,1200,1691,1457,1453.25
AVGO_SQZ_OFF,1182,1692,1118,1822,1453.5
META_PSARr_0.02_0.2,1211,1833,1023,1758,1456.25
GILD_ENTP_20,1372,1036,1750,1673,1457.75
COST_SQZ_OFF,1164,1793,1109,1774,1460.0
TSLA_ADX_28,1758,913,1566,1603,1460.0
META_ZS_40,1282,1557,1443,1592,1468.5
AVGO_SQZ_ON,1181,1777,1116,1823,1474.25
TSLA_PSARs_0.02_0.2,1271,1164,1757,1715,1476.75
AVGO_DMN_28,1696,727,1791,1716,1482.5
TSLA_BBL_40_2.0,1277,1148,1800,1710,1483.75
AVGO_STOCHd_28_6_3,1656,1069,1497,1731,1488.25
TSLA_PSARaf_0.02_0.2,1563,1261,1357,1795,1494.0
TSLA_EMA_50,1293,1283,1802,1610,1497.0
TSLA_IKS_52,1264,1250,1806,1671,1497.75
TSLA_SUPERTd_14_4.0,1266,1526,1547,1722,1515.25
TSLA_SUPERTl_14_4.0,1334,1253,1766,1724,1519.25
TSLA_BBM_40_2.0,1278,1324,1788,1690,1520.0
TSLA_DCL_40_40,1122,1490,1798,1679,1522.25
AVGO_ADX_28,1790,1082,1555,1718,1536.25
TSLA_DCM_40_40,1200,1630,1713,1678,1555.25
TSLA_VWMA_50,1279,1580,1804,1607,1567.5
TSLA_ISB_52,1787,1168,1779,1595,1582.25
